,rating,review,app,source
106,5,"I have used this app for years to report everything from graffiti to stolen cars to hazardous materials from homeless encampments. The city does a great job fixing this stuff up quickly. My main critique is that this app needs to be promoted more via posters, billboards, Spotify, online ads, and more. An app is only as good as its user base, and most friends and family that I have talked with had never heard of this app before. The other criticism that I have is that the team does need to always follow through with cleaning up the graffiti, fixing damaged roads, or removing debris to the full extent that it is actually there. It is frustrating to share a picture of some new ugly graffiti at a park, but only a small part of what is shown is actually cleaned up, and/or the rest of the park that has a lot more graffiti is left unchanged. Please try to do as much as you can while you are there - follow the broken window theory. Fix up as much as you can while you are there, don’t stick with the bare minimum. I know that keeping the city in top-notch condition is a massive undertaking, I so try to share this app with everyone I know so that we can have a cleaner, healthier, and more beautiful city. Thank you to the City of Seattle for creating this app!",FindItFixIt,Apple
107,1,I have over a dozen SDOT concerns logged. Over last 60-100 days. No updates. And no work done. This a feel good app to make you think the city is listening to you. Don't waste your time. They could care less about citizen input that requires them to work on something other than what they want to do.,FindItFixIt,Apple
108,5,"Professionally, I clean up after the people who are living in tents and destroying their surrounding environments (our city) with endless garbage, urine, feces, heroine needles other drug paraphernalia and so much more. In the last 18 months, I’ve picked up over 1,400 33 gallon bags of trash from the homeless people who won’t pick up after themselves. Thanks to this app, every camper I’ve reported (& I only report the ones whose habits could potentially harm city residents) have been cleared away and usually within a week. THANK-YOU so much to our city workers. Our children deserve a livable & healthy city today and in the future.",FindItFixIt,Apple
109,1,it is basically useless at this point half of it you've got to call other numbers to reach other City departments to report and the other half just as not something you would typically report in the first place unless I can update it to actually be able to report things that would help the neighborhood it's just useless,FindItFixIt,Google
110,1,"It used to be very useful but now it says everything is out of service area, even for things I had to report before I can't now.",FindItFixIt,Google
111,2,no longer allows parking enforcement requests,FindItFixIt,Google
112,1,"I put in a report vehicles left in front of my house for over 2month, and the report is still open.",FindItFixIt,Google
113,1,cannot attach photo. cannot correct address location.,FindItFixIt,Google
114,1,"Even if you get past all the bugs, it's just a waste of time. Nothing is ever resolved. It's pretty much a suggestion box that gets emptied in the trash each week.",FindItFixIt,Google
115,1,Pokémon Go for NIMBYs lol,FindItFixIt,Google
116,1,didn't work on my phone (s25).,FindItFixIt,Google
117,5,great for getting rid of pesky hobos,FindItFixIt,Google
118,5,I love that I can report nearly anything to the city and actually get responses and things taken care of.,FindItFixIt,Google
119,1,"This app is completely worthless. I used it for the better part of 2 years and this app is only useful for alerting the city to basic park and street maintenance (you know like a city should already do). Do not expect any response for encampments, dumping in greenbelts, stolen or illegally parked cars or dead/fallen trees. The people of Seattle are on their own to police and clean up their own city.",FindItFixIt,Google
120,5,easy to use!,FindItFixIt,Google
121,1,"The app is a waste of time. The city of Seattle doesn't care about enforcement of its laws, so this app is a waste of time. Every single one of my reports gets closed without a comment, and no action is taken. They won't come, they won't fix it. Fix it yourself, Seattle won't.",FindItFixIt,Google
122,3,"The app works pretty well for a government app, but the city doesn't actually fix things you report so overall it's useless",FindItFixIt,Google
123,1,No way to report powerlines out from fallen trees or fallen trees blocking the road,FindItFixIt,Google
124,1,For some reason i cannot figure out how to report vehicles parked over (72) hours online. Help me.,FindItFixIt,Google
125,1,"This app is a charade. This provides the illusion of reporting things, but in my experience every report I have made has been ignored, canceled, deleted or otherwise neglected. No one who responds these actually has any interest in solving any of the problems of the citizens of Seattle. This is 100% done for show, and not for improving the city.",FindItFixIt,Google
126,1,"I'm repeatedly getting a 500 server error when trying to file a report. I can't save a draft or anything to try again later, so I have to fill it all out again. A backup submission option (e.g., email) would be nice too.",FindItFixIt,Google
127,5,"The app is fine, but Seattle won't do anything about the reported issues any more so I don't even know if there's someone to see the reports, which makes the app worthless.",FindItFixIt,Google
128,5,Padlock on porta-potty at Me-Kwa-Mooks Park,FindItFixIt,Google
129,1,No reply or status change regarding my request,FindItFixIt,Google
130,2,It is giving me 503 errors frequently,FindItFixIt,Google
131,1,Worthless. They just ignore issues. Huge waste of time.,FindItFixIt,Google
132,1,"App gets stuck on the issues selection page. Also, this doesn't work when no one actually does anything on the off chance the app works.",FindItFixIt,Google
133,1,Homeless have a right to exist.,FindItFixIt,Google
134,1,I think this app gave me viruses,FindItFixIt,Google
135,1,evil disgusting people. shame on rhese people for developing this app.,FindItFixIt,Google
136,1,"Was good, now very confusing",FindItFixIt,Google
137,1,What a joke by city goverment. Taxes are being raised abd services are being cut. Now where ever you try to submit complaint it say out of area. Shame on you dow,FindItFixIt,Google
138,5,"Much better than the old app. Not slick, but very good as far as ""an app from a city government"".",FindItFixIt,Google
139,5,Easy to use and gets results.,FindItFixIt,Google
140,5,"Make for all states, even if code enforcement doesn't acknowledge it, we can show them easier than calling in each one",FindItFixIt,Google
141,1,"Someone needed to review this app before they pushed the post button, lots of dumb dumb issues, like it assumes everyone has a Seattle address, and in parking enforcement it they left out the most popular color of car in Seattle, you know ""GRAY""! Always double check your work on an app and think a little.",FindItFixIt,Google
142,1,Common Seattle L,FindItFixIt,Google
143,1,Reports are closed with no action and no mention of why.,FindItFixIt,Google
144,5,Great app now let's you pick the location of the report.,FindItFixIt,Google
145,5,Actually useful.,FindItFixIt,Google
146,2,"This app resets to the start screen when I try to include a photo inside the app. I've had better luck attaching a previously taken photo. This app seems to be a collector of problems. I wish we could also find the status here when problems are referred to departments that are not hooked up with this app. Sometimes I see very quick results. Other times oh, it seems to be a black hole.",FindItFixIt,Google
147,2,Since the improvements in the app it's almost impossible to use. I tried to report a branch had taken down wires and not only was there no place to report it I also couldn't find anywhere to turn on location to map it. What was a great app is now useless,FindItFixIt,Google
148,2,Find It/Ignore It Seattle Parks and Recreation just closes the reports with no status or work done. I am extremely disappointed that there are no processes in place to actually do the FIX IT part which is the whole point of reporting it.,FindItFixIt,Google
149,1,What's the point of having parking enforcement requests when no one does anything with them?,FindItFixIt,Google
150,2,"The new design takes much longer to submit a report and if you add an image, it just goes back to the home screen without letting you submit the report. If the goal is to reduce reported instances, then it's an improvement but if the goal is to find the things that need fixing then I wish I could report the app. Also there is no contact information to report issues with the app. Perhaps a good feature for the future?",FindItFixIt,Google
151,5,"The new update circa late 2022 is a vast improvement. Good job guys! One feature suggestion would be a way to see issues raised by others (the reporter could decide to make their issue public vs private, perhaps) and let other people 'up vote' (limited to one vote per user!) that report to help prioritize reports. It would also be nice to have a shareable link to the report that a reporter could send to neighbors to ask them to up vote if they too would like to see the issue fixed. Thanks!",FindItFixIt,Google
152,1,An unmonitored app built to shut us up temporarily. Don't download.,FindItFixIt,Google
153,5,"Helped me remove homeless encampment where drug dealing was rampant. This app saved my block. Five stars for that thank you. The homeless mentally ill get away with murder in Seattle. Time for them to go, get kicked up. Fund the SPD.",FindItFixIt,Google
154,2,The app is taking me to a web page that is broken. Hence the app is useless. Please fix asap.,FindItFixIt,Google
155,2,Downgrade in UI. What used to take one or two pages to create a report now takes like five. The other features are nice though.,FindItFixIt,Google
156,5,The last update made this app easier to use!,FindItFixIt,Google
157,1,Doesnt work blank screen,FindItFixIt,Google
158,1,This app is a scam. City government is hiding behind an app rather than fighting crime! Rather than allocating funds for police officers and recruiting aggressively. They spend $150 million on the Homeless Problem and have never solved any of it. They won't come out for Crime theft vandalism unless someone is holding a knife or a gun at your head. This app wastes your time. Is nothing more than a statistic and crime tracker. With zero effectiveness.,FindItFixIt,Google
159,5,"Easy to use, quick, I see results in less than 10 days. Thank you",FindItFixIt,Google
160,4,"Really nice that it has so many services in one place and it's easy to submit requests. The follow up on a lot of my request has been very quick, but some haven't gotten any follow up. It seems depend on which service it goes to. Broken car window glass on the street got no response.",FindItFixIt,Google
161,5,Easy to use and the City actually pays attention to the reports.,FindItFixIt,Google
162,4,"""Service not initialize"". It was working fine and now I can't report the mower down stay safe street signs. Android 12 Moto G 5G.",FindItFixIt,Google
163,5,Works well,FindItFixIt,Google
164,1,The city just closes the reports without doing anything about them. This is a waste of time,FindItFixIt,Google
165,1,This is the Orwellian app people use to harass the homeless of Seattle.,FindItFixIt,Google
166,1,Won't initialize?,FindItFixIt,Google
167,1,"I reported a dead animal on a highway exit, that sat there for 2+ days and the answer was literally that I should grab a bag and pick it up myself. I'm seeing similar issues with other reviewers. Props for making the app, but the services it provides seem to be dropping the ball, making this pointless.",FindItFixIt,Google
168,4,"Great service, hope to use it again.",FindItFixIt,Google
169,1,"App must be broken, I keep reporting in Seattle and nothing happens.",FindItFixIt,Google
170,5,A priceless resource for residents and business owners. Couldn't be earlier and They respond in a reasonable amount of time.,FindItFixIt,Google
171,1,"Made a report in the morning about a jerk who parked in the middle of the sidewalk and bike lane. When I opened the app later in the day to check the status, it kept crashing immediately. Had uninstall and reinstall to get it working again. You don't get any indication about the resolution of anything you filed. Just ""Closed"". They might as well print it out, put it into a paper shredder, and then close your issue.",FindItFixIt,Google
172,5,"Excellent, easy to use",FindItFixIt,Google
173,2,The app is very basic. It does keep you up to date on placed orders but yge automatic location is way off and it will not always allow a manual entry of an address. Oh you can enter the address location but the app will reject it. Really needs fine tuning. Response to placed orders are very slow but I don't know if that has anything to do with the app.,FindItFixIt,Google
174,5,Easy way to report public problems around the city.,FindItFixIt,Google
175,5,Easy to use.,FindItFixIt,Google
176,5,"I will donate my time and skills to rework this service. For free. But, I need suggestions and city support. For example, there will be no way to report homelessness. But there WILL be a way to donate toward housing to help curb homelessness. Come on. Let's be constructive.",FindItFixIt,Google
177,1,Doesnt matter anymore,FindItFixIt,Google
178,1,Classiest garbage. We will find the developers and show them the err of their ways.,FindItFixIt,Google
179,1,Death to capital,FindItFixIt,Google
180,5,"I was extremely impressed with this app. The app isn't super fancy but is easy to use and gets the job done. It was easy to report my issue and attach a photo. Within 1 hour of reporting it, a city of seattle truck appeared (i reported a huge branch blocking the sidewalk) and within another hour it was fixed! Thank you City of Seattle!",FindItFixIt,Google
181,1,"So you can't use this app to keep track of any requests that you didn't make through the app? The three categories of requests (recent, yours, and favorites) are completely useless? Unimplemented functionality is pointlessly repeated across multiple screens to make it look like the app actually does stuff? Lame.",FindItFixIt,Google
