rating,review
1,"That this app is used, in conjunction with posters around the city, to harras and displace the most vulnerable people who are forced to live in tents is absolutely apalling. Instead of providing the resources to deal with homelessness, it punishes those who are most at risk and puts them in further danger. Absolutely disgusting. You should be ashamed of yourselves. Tents are not what needs fixing so that wealthy don't need to see the poverry they've allowed to happen. Poverty is."
5,"Hey y'all: the City of Seattle doesn't actually endorse reporting tents. The signs that many of us are reacting to here were posted by regular citizens. you can only report tents under ""general inquiry"" because it's not a category!! I'm revising my review because i found out this info after i did some homework. This app is actually pretty useful. Please consider revising your review as well if you were blindsided like i was!"
1,"this app is petty and disgusting. how about implement something to help these people, not report and complain."
1,"Found out about this city's inhumane campaign to kill off all the homeless/poverty stricken men, women, and children by destroying the very habitats that keep them alive. Shame on whoever thought this up and posted flyers across the city urging people to report tents. Shame on whoever approved that aswell. I thought Seattle was a progressive city but seems that I was terribly mistaken. Here's to condemning this app, and this city's government officials, and to anyone who reports a real tent."
1,"Proof even bourgeois ""progressive"" cities hate poor people"
1,"Yeah, the problem is not so much with the app as with the anti-homeless policy that it is meant to endorse! I don't know where the city of Seattle left its compassion, but encouraging the active criminalization of poverty is a very fascist move."
1,what an idiotic way to approach human lives. sanctuary city my butt.
5,GOD BLESS!!!
1,app for bootlickers and statist subhumans.
1,i only downloaded this to help overload the server. i live in Minnesota. Forcing homeless people out of their tents is the worst thing I've ever heard of being done with an app.
1,App is being abused by groups trying to harrass homeless people in Seattle.
1,Disgusting.
1,Find better measures to deal with the homeless crisis instead of harrassing homeless people. This app is Orwellian and anyone who participates in it is an idiot.
1,"a big f you to the city of seattle. i will be making multiple accounts with bots and sending you 10000000s of fake sightings of tents. instead of trying to punish them, maybe help them you liberal scum."
1,don't use this app unless you are evil and enjoy making people suffer :)
1,hateful
1,app doesn't work properly
1,"doesn't work, homeless people still exist."
1,Bootlickers would love this app
1,this app is cruel and hateful towards unhoused humans.
1,"if you hate poor people and want them to die from exposure, this is the app for you"
1,"This app allows you to treat other people like an inconvenient pothole or unsightly graffiti. It's a vile, dehumanizing and cowardly way to deal with your discomfort with the visible proof of the homelessness, addiction and lack of mental health care in Seattle. The city should be ashamed."
1,Brutal concept. Shame on the developers and clients.
1,"you should be ashamed of yourselves, you g*damn clowns. STOP HARASSING HOMELESS PEOPLE. THEY ARE JUST TRYING TO LIVE. 🤡🖕🏽"
1,"This app is being used to terrorize an already marginalized group that nobody is willing to help: up to and including the local government of Seattle. It's shameful and disgusting behavior, undoubtedly started by a privileged white person who is just so offended by the struggles of the poor."
1,"Crashes almost every time I've tried to open it, and the one time I didnt crash, it wouldn't let me submit my complaint! Do better, Seattle."
1,Screw you devs. I hope when you're down and out someone comes along and makes your situation exponentially worse
1,it's terrible of y'all to make an app for snitching on homeless people
1,"NIMBY App is being used to harass vulnerable populations in Seattle. City of Seattle, do not waste resources attacking the homeless rather than helping!"
1,This was being used to force homeless people out of the scraps of home they managed to make and it's desgusting.
1,snitches get stitches
1,Because we don't care about people at all in Seattle apparently. Just get those unsightly homeless people away.
1,They should be ashamed that they made this.
1,Shame
1,Literally an app for snitching on homeless people.
1,"report Tents EVERYWHERE!!!! IN McDs, in the sty, in in the bay when u r on the ferry :) .... i just installed to do such :) make their app utterly fkn useless and the developer can fkn Blow Me"
1,let homeless people live their lives
1,garbage app for garbage people. snitching on the homeless? really?
1,targeting homeless people bad
1,"see a tent? don't report it. fix the reason people live in tents, you garbage human beings."
1,"Disgusting, Regressive, Inhumane app."
1,i downloaded the app to help fight against the report a tent movement. we need to be helping them find homes not making it harder for them to live. however i didnt see a report tent button so maybe they have already taken the option down? if anybody has any info on this id be very grateful. thanks
1,Using the smartphone priveleged public to eject homeless people from their last ditch effort for shelter is disgusting.
1,"Finally! An ignorant group of slaves have succeeded in developing an app so that ignorant self centered privileged slaves can report less fortunate people to the Seattle Corporation whom exploits both groups. Way to go man kind, and all you blind idiots who still say we live in a free country. Screw you Seattle, and screw you slaves who have nothing better to do than rat each other out because you have the urge to not mind your OWN damn business."
1,The developers of this app are just as complicit in the criminalization of homelessness and should be ashsmed of themselves
1,download and make fake reports to waste the time of horrible people. also go through the reviews and report all positive ones. they'll shut it down eventually. you people will burn in hell for this I swear to god
1,The only way to fix homelessness is to stop letting the investor class artificially inflate housing costs.
1,There are more homes with nobody living in them in America than there are homeless people. Just some food for thought.
1,Targeting the vulnerable. Disgusting.
1,solve the source of the problem instead of screwing over the people who are affected
1,"I was homeless twice before the age of 10 - both times living in tents as my only shelter. Tent living saved my life when I was unable to be in a permanent dwelling. Had my family and I lost our tents and camping gear, we would have surely succumbed to the elements months before we were finally able to get back on our feet and get into an apartment after being displaced by a house fire and then becoming victim to a slum lord. Homelssness can happen to ANYONE at any time, for various reasons."
1,Pathetic. Creating an app and using it to attack folks who are already struggling.
1,"Use our money to build public housing, not fascist apps"
1,nah
1,The fact this app is being used for the prosecution of homeless people is disgusting. S/O from Saint Louis
1,What you are doing is horrible. Hope everyone responsible for this app has to be homeless.
1,why make an app to target the homeless when you could not
1,unethical
1,"in theory, this would be nice, sort of like a networked neighbourhood watch. in practise, it seems to be nothing more than a glorified rat tool, because why would we actually put time, effort, and tax money into actually addressing and fixing problems when our taxes can go straight into the pockets of politicians and instead push out an app that PUNISHES PEOPLE FOR BEING HOMELESS. Being homeless is a symptom of a greater injustice. Stop punishing them for it."
1,"Pro tip: download the app and report several locations you know don’t have any camps. As far as easy direct action goes this could actually shut the app down with enough people behind it, at the very least render it practically unusable."
1,This app is being used to target and attack homeless people. This is unacceptable. This is hateful. We can do better.
1,"What a disgusting app. Whoever developed this- whoever supports this- is a monster. If houseless individuals make you uncomfortable, then maybe you should try to solve the housing crisis instead of preying upon its survivors. I only downloaded this app to underscore its cruelty. After I finish writing this, I'm going to uninstall this repulsive app."
1,no option to report how racist and terrible Seattle is
1,terrible design
1,"honestly, this app is disgusting. i'm glad people are overloading its servers"
1,Anti-homelessness in the worst possible way. Spam them to hell with false reports.
1,imagine hating poor people so much that you made an app so you can have strangers snitch on them and essentially try and get them killed.
1,"You people are sick. All of you. Congratulations on #8 trending and #1 ruining people's already ruined lives. Actually fix the homeless situation and grow up as a city, don't alienate the alienated even more. Act like adults, not rich spoiled brats."
1,reported as hateful app
1,"This app is disgusting. We're living in police state, and being poor and surviving is now a war. No way"
1,This is disgusting. An app for reporting clogged storm drains or dangerous dumping? Sure. An app for reporting homeless people and abandoned cars? Evil.
1,"Screw you, and your war on poor people. Why don't you just make housing more accessible? Oh, because that would mean you'd have poor people in your community... And this is probably also racist in intentions. But it's OK, we've found a way to undermine the app. Cheers"
1,Not working properly
1,"saves me a lot of time, I used to go out and beat the homeless with a hammer but this app is much more effective at murdering them lol"
1,not only should snitches get stitches but the despicable city of seattle has advertised this app to attack poor people. what?!?!
1,it's disgusting you are targeting houseless people ...shame on Seattle city officials
1,"The fact that you can report a homeless encampment is despicable. This is not how to fix homelessness, and reporting these people to the city only makes their lives harder. if you think you're helping, you're not."
1,"made by yuppies for yuppies... 1 out of 5, able to use it to attack homeless around Seattle."
1,"Such a great fascist idea! I can report homeless people from the comfort of my own home, secure in the idea that the city will give those dehumanized vagrants whatfor. The citizens of Seattle don't pay taxes for nothing, so why not rough up the less fortunate and kick around some people while they're already down! I would give the app five stars but they don't offer live streaming of the fascist fun spree that ensues after my report. Gosh, what a drag!"
1,Disgusting. This is the end of this mayor.
1,Designed to attack people who are already suffering or have no income.
1,hooray for classism
1,this app is disgusting and should only be used to waste the city of Seattle's time.
1,Homeless people are not the issue. The issue is overpriced housing and useless politicians.
1,disgusting. an app that is activly harming the homeless population
1,"want to take care of homelessness? be compassionate and help them (yes even if theyre drug addicts, yall are trash thinking they dint deserve to get better) dont get them arrested youre just giving profit from slave work to the state and dividing our community."
1,classist (classless) Nimby's trying to eradicate undesirables. This borders on the edge of eugenisism. Deplorable.
1,how about leave homeless people alone
1,What an evil app. This does nothing to help the situation that many homeless people find themselves in and only serves to further demonise people who are already in a bad situation
1,doesn't work.
1,This app shouldn't exist. Shame on anyone who participates in this harassment campaign against the homeless.
1,"leave homeless people alone, Seattle. Its your economy why theyre living in a tent to begin with, and your terrible businesses denying them bathrooms to use and your parks and rec not providing enough proper public restrooms. Trying finding and fixing your sense of humanity."
1,This app is used to harrass and destory communities. Especaially when the poor are involved.
1,"Unkind, unjust, unhelpful: Educational opportunity: Begin with Adam Ruins Housing - Homeless portion and proceed with the vast amount of data that supports how homelessness is more economically solved by providing actual homes instead of harrassing them at their temporary means of living such as tents. The signs posted by the local government requesting people report tents of the homeless reeks of elitism, fascisim, and cruelty. Seek education & kindness."
1,Absolute garbage. Using a city works app to attack homeless is disgusting.
1,"That graffiti is pretty, why would you report it! Also, leave the homeless alone, ya'll suck."
1,stop dehumanizing the homeless.
1,"NIMBY snitch app. If you report a homeless person's patch of ground to sleep on, I hope you get to experience homelessness yourself, and soon."
5,the perfect app if you hate homeless people and love our mayor!
1,why are Seattle council wanting to harass rather than help homeless people? Try establishing affordable housing for people rather than harassing folk.
1,Horrible app designed by horrible people. You should be ashamed of yourself and take deep look in the mirror to see what the hell is wrong with you. How about finding ways to help homeless people instead of putting all your resources into removing them. They are people too.
1,"fix your homeless problem seattle, this isnt it"
1,did not fix things. buggy interface assumes I hate my unhoused neighbora.
1,it turns everyone who uses it into a giant knob crazy
1,Does it feel good to bully the homeless?
1,maybe all this time and energy used to bully homeless people could be redirected towards something more useful xx
1,"This is a great idea for reporting things like potholes and littering, but it's also being used to report homeless people just for being homeless. That's pretty cruel, if you ask me."
1,Being able to report homeless people to have their tents taken away = 1 star
1,Horrible people who no doubt live in nice homes want you to report homeless people who are forced to live in tents so they can take their tents away. There are words for people who behave like this but they would be censored. Sadly they are in charge and as usual the despicable people seem to keep getting themselves into positions of power.
1,"I'd like to hope that the developers of the app were not intending it as a tool to attack an already vulnerable population, but that's exactly what it's become. Please remove the ""Other"" section at least. There's good reason ""reporters"" are ashamed to be known as the heartless jerks who criminalize and victimize folks who are already struggling."
1,"Ah yes, an app to target homeless people and put them in even more jeopardy, destroying their shelter and chasing them out like dogs. Shame on the people who developed this, shame on everyone who uses it to screw over disenfranchised human beings. Y'all a hot pile of burning garbage. Trash, the lot of ya."
1,leave homeless people alone
1,Stop snitching on homeless people.
1,"Developers should find their own actually problems with their morals and inhumanity. This is discrimination against homeless people. Fix yourselves first, for God's sake."
1,dont rat out homeless people folks
1,y'all are scum
2,"Shameful stuff. I see people using this app to report individuals living freely in tents. They seem to be forcing them to sign contracts to live. Whether a contract for a homeless shelter's rules, or a mortgage contract, consent is violated when contracts are forced upon us. Free means no contracts."
1,whoever developed this app please rethink your life choices. whoever came up with this app please end your worthless existence.
1,"bigoted, elitist, disgusting, inhumane and en calling of our country's most disgusting cultural item; ignoring and demonizing the homeless. pretty disgusting"
1,"I only wanted to install this long enough to leave a review. I think what you're doing is disgusting. Rather than trying to find a way to help homeless people, you're going to kick them out of the only place that they have. People should be trying to lift others, not knock them further into the gutter."
1,"This is being used as a literal attempt to murder homeless people. You can literally report someone for not having a house to sleep in. Proof of how disconnected and disgusting Seattle officials are. Why deal with issues, when we can just harras, arrest, and force into hiding the most vulnerable people in a city? 🤡"
1,choke
1,"oh perfect, a way to report houseless people to the authorities so they can be harassed and forcibly removed. what an evil idea made by people who think a human life is only worth as much as their money."
1,do not use this for discriminatory actions against the homeless some of them have no choice in bieng homeless they are still human to
1,This is nothing but the city of Seattle trying to make war on our houseless neighbors. Reported as a hateful app.
1,"this app does absolutely nothing. it doesn't matter what you report on this app, because nothing gets done about the report. i would be very surprised if ANYONE actually recieves any of the reporting that 'find it fix it' supposedly responds to. my suspicion is that any reporting from this app just goes into cyber Oblivion, not received or responded to by anyone. this 'find it fix it' app, i believe is meant to denote civic 'apathy', not the actual meaning of application."
